;chip_name;description;input_voltage;output_voltage;output_node;model_file;output_number
0;ADM7150-1.8;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[1.8];['V(out)'];ADM7150-1.8.asc;1
1;ADM7150-2.8;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[2.8];['V(out)'];ADM7150-2.8.asc;1
2;ADM7150-3.0;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[3.0];['V(out)'];ADM7150-3.0.asc;1
3;ADM7150-3.3;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[3.3];['V(out)'];ADM7150-3.3.asc;1
4;ADM7150-4.5;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[4.5];['V(out)'];ADM7150-4.5.asc;1
5;ADM7150-4.8;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[4.8];['V(out)'];ADM7150-4.8.asc;1
6;ADM7150-5.0;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[5.0];['V(out)'];ADM7150-5.0.asc;1
7;ADM7151-02;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[3.3];['V(out)'];ADM7151-02.asc;1
8;ADM7151-04;800 mA, Ultralow Noise, High PSRR, RF Linear Regulator;6.2;[3.3];['V(out)'];ADM7151-04.asc;1
9;ADM7154-1.2;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;2.3;[1.2];['V(out)'];ADM7154-1.2.asc;1
10;ADM7154-1.8;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;2.9;[1.8];['V(out)'];ADM7154-1.8.asc;1
11;ADM7154-2.5;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;3.4;[2.5];['V(out)'];ADM7154-2.5.asc;1
12;ADM7154-3.0;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;3.9;[3.0];['V(out)'];ADM7154-3.0.asc;1
13;ADM7154-3.3;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;3.9;[3.3];['V(out)'];ADM7154-3.3.asc;1
14;ADM7155-01;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;2.3;[1.8];['V(out)'];ADM7155-01.asc;1
15;ADM7155-02;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;2.9;[1.8];['V(out)'];ADM7155-02.asc;1
16;ADM7155-03;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;3.4;[2.5];['V(out)'];ADM7155-03.asc;1
17;ADM7155-04;600 mA, Ultralow Noise, High PSRR, RF Linear Regulator;3.9;[3.3];['V(out)'];ADM7155-04.asc;1
18;ADM7170;6.5V, 500mA, Ultralow Noise, High PSRR, Fast Transient Response CMOS LDO, Adjustable Output;3.5;[3.0];['V(out)'];ADM7170.asc;1
19;ADM7171;6.5V, 1A, Ultralow Noise, High PSRR, Fast Transient Response CMOS LDO, Adjustable Output;3.5;[3.0];['V(out)'];ADM7171.asc;1
20;ADM7172;6.5V, 2A, Ultralow Noise, High PSRR, Fast Transient Response CMOS LDO, Adjustable Output;3.5;[3.0];['V(out)'];ADM7172.asc;1
21;ADP1071-1;Isolated Synchronous Flyback Controller with Integrated iCoupler, Programmable LLM or Forced CCM Operation;36.0;[12.1];['V(out)'];ADP1071-1.asc;1
22;ADP1071-2;Isolated Synchronous Flyback Controller with Integrated iCoupler, forced CCM operation;36.0;[12.1];['V(out)'];ADP1071-2.asc;1
23;ADP1074;Isolated, Synchronous Forward Controller with Active Clamp and iCoupler;48.0;[12.2];['V(out)'];ADP1074.asc;1
24;ADP121-1.2;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.2];['V(out)'];ADP121-1.2.asc;1
25;ADP121-1.5;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.5];['V(out)'];ADP121-1.5.asc;1
26;ADP121-1.65;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.6];['V(out)'];ADP121-1.65.asc;1
27;ADP121-1.8;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.8];['V(out)'];ADP121-1.8.asc;1
28;ADP121-1.875;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.9];['V(out)'];ADP121-1.875.asc;1
29;ADP121-2.0;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.0];['V(out)'];ADP121-2.0.asc;1
30;ADP121-2.5;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.5];['V(out)'];ADP121-2.5.asc;1
31;ADP121-2.8;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.8];['V(out)'];ADP121-2.8.asc;1
32;ADP121-3.0;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.0];['V(out)'];ADP121-3.0.asc;1
33;ADP121-3.3;150 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.3];['V(out)'];ADP121-3.3.asc;1
34;ADP122-1.8;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.8];['V(out)'];ADP122-1.8.asc;1
35;ADP122-2.0;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.0];['V(out)'];ADP122-2.0.asc;1
36;ADP122-2.5;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.5];['V(out)'];ADP122-2.5.asc;1
37;ADP122-2.6;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.6];['V(out)'];ADP122-2.6.asc;1
38;ADP122-2.7;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.7];['V(out)'];ADP122-2.7.asc;1
39;ADP122-2.8;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.8];['V(out)'];ADP122-2.8.asc;1
40;ADP122-2.85;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.9];['V(out)'];ADP122-2.85.asc;1
41;ADP122-2.9;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.9];['V(out)'];ADP122-2.9.asc;1
42;ADP122-3.0;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.0];['V(out)'];ADP122-3.0.asc;1
43;ADP122-3.3;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.3];['V(out)'];ADP122-3.3.asc;1
44;ADP123;5.5 V Input, 300 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.8];['V(out)'];ADP123.asc;1
45;ADP124-1.8;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.8];['V(out)'];ADP124-1.8.asc;1
46;ADP124-2.5;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.5];['V(out)'];ADP124-2.5.asc;1
47;ADP124-2.7;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.7];['V(out)'];ADP124-2.7.asc;1
48;ADP124-2.8;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.8];['V(out)'];ADP124-2.8.asc;1
49;ADP124-2.85;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.9];['V(out)'];ADP124-2.85.asc;1
50;ADP124-2.9;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[2.9];['V(out)'];ADP124-2.9.asc;1
51;ADP124-3.0;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.0];['V(out)'];ADP124-3.0.asc;1
52;ADP124-3.3;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[3.3];['V(out)'];ADP124-3.3.asc;1
53;ADP125;5.5 V Input, 500 mA, Low Quiescent Current, CMOS Linear Regulator;5.5;[1.5];['V(out)'];ADP125.asc;1
54;ADP160-1.2;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[1.2];['V(out)'];ADP160-1.2.asc;1
55;ADP160-1.5;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[1.5];['V(out)'];ADP160-1.5.asc;1
56;ADP160-1.8;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[1.8];['V(out)'];ADP160-1.8.asc;1
57;ADP160-2.1;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.1];['V(out)'];ADP160-2.1.asc;1
58;ADP160-2.3;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.3];['V(out)'];ADP160-2.3.asc;1
59;ADP160-2.5;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.5];['V(out)'];ADP160-2.5.asc;1
60;ADP160-2.7;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.7];['V(out)'];ADP160-2.7.asc;1
61;ADP160-2.75;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.8];['V(out)'];ADP160-2.75.asc;1
62;ADP160-2.8;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.8];['V(out)'];ADP160-2.8.asc;1
63;ADP160-2.85;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.9];['V(out)'];ADP160-2.85.asc;1
64;ADP160-3.0;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.0];['V(out)'];ADP160-3.0.asc;1
65;ADP160-3.3;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.3];['V(out)'];ADP160-3.3.asc;1
66;ADP160-4.2;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[4.2];['V(out)'];ADP160-4.2.asc;1
67;ADP1606;Extreme Low Voltage 2 MHz Synchronous Boost Converter;0.9;[1.8];['V(out)'];ADP1606.asc;1
68;ADP1607;Extreme Low Voltage 2 MHz Synchronous Boost Converter PFM enabled at low load;0.9;[3.5];['V(out)'];ADP1607.asc;1
69;ADP1607-001;Extreme Low Voltage 2 MHz Synchronous Boost Converter Forced PWM;0.9;[3.4];['V(out)'];ADP1607-001.asc;1
70;ADP161;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.3];['V(out)'];ADP161.asc;1
71;ADP1612;650kHz /1.3MHz, 1.4A, Step-Up PWM DC-to-DC Switching Regulator\n\nNote: SS pin is not modeled.;5.0;[12.2];['V(out)'];ADP1612.asc;1
72;ADP1613;650kHz /1.3MHz, 2A, Step-Up PWM DC-to-DC Switching Regulator\n\nNote: SS pin is not modeled.;5.0;[12.2];['V(out)'];ADP1613.asc;1
73;ADP1614;650kHz /1.3MHz, 3A, Step-Up PWM DC-to-DC Switching Regulator;3.0;[12.2];['V(out)'];ADP1614.asc;1
74;ADP1614-1.3;1.3MHz, Adjustable up to 4A, Step-Up PWM DC-to-DC Switching Regulator.;5.0;[10.1];['V(out)'];ADP1614-1.3.asc;1
75;ADP162-1.2;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[1.2];['V(out)'];ADP162-1.2.asc;1
76;ADP162-1.8;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[1.8];['V(out)'];ADP162-1.8.asc;1
77;ADP162-2.1;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.1];['V(out)'];ADP162-2.1.asc;1
78;ADP162-2.3;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.3];['V(out)'];ADP162-2.3.asc;1
79;ADP162-2.8;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[2.8];['V(out)'];ADP162-2.8.asc;1
80;ADP162-3.0;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.0];['V(out)'];ADP162-3.0.asc;1
81;ADP162-3.1;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.1];['V(out)'];ADP162-3.1.asc;1
82;ADP162-3.3;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[3.3];['V(out)'];ADP162-3.3.asc;1
83;ADP162-4.2;Ultralow Quiescent Current, 150mA CMOS Linear Regulator;5.0;[4.2];['V(out)'];ADP162-4.2.asc;1
